,v1clusters,v1recall,v1precision,v1f_score,v2clusters,v2recall,v2precision,v2f_score,Louvain results path,n
517,3,0.6060037523452158,1.0,0.7546728971962616,4,1.0,1.0,1.0,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3362/2021_2_5_22_40_8\Louvain_2,4
518,3,0.25229709035222053,0.9571532316630356,0.3993334343281321,8,0.8095238095238095,1.0,0.8947368421052632,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3601/2021_2_5_22_44_53\Louvain_2,9
519,4,0.37639821029082776,0.8011904761904762,0.5121765601217657,3,0.1378861788617886,0.5047619047619047,0.21660280970625795,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2033/2021_2_5_22_46_18\Louvain_2,7
520,2,0.8266666666666667,1.0,0.9051094890510949,4,0.4605263157894737,0.28225806451612906,0.35000000000000003,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_4450/2021_2_5_22_46_25\Louvain_2,3
521,3,0.24302466639708856,0.7154761904761905,0.36281316027769395,2,0.11863035858722028,0.5238095238095238,0.19344910969443835,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3383/2021_2_5_22_49_40\Louvain_2,8
522,4,0.42045454545454547,0.9736842105263158,0.5873015873015873,5,0.456,1.0,0.6263736263736264,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2620/2021_2_5_22_49_49\Louvain_2,9
523,3,0.12318840579710146,0.5,0.19767441860465118,4,0.1717171717171717,0.5,0.2556390977443609,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_4004/2021_2_5_22_49_52\Louvain_2,9
524,4,0.32595870206489674,0.8403041825095057,0.46971307120085015,4,0.2547864506627393,0.6577946768060836,0.3673036093418259,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_1412/2021_2_5_22_50_11\Louvain_2,9
525,2,1.0,1.0,1.0,2,0.46596858638743455,0.489010989010989,0.4772117962466487,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2437/2021_2_5_22_50_17\Louvain_2,2
526,2,0.2857142857142857,1.0,0.4444444444444445,5,0.22641509433962265,0.4,0.2891566265060241,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2995/2021_2_5_22_50_25\Louvain_2,6
527,2,0.2746478873239437,0.9873417721518988,0.42975206611570255,4,0.3901734104046243,0.8544303797468354,0.5357142857142857,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_1669/2021_2_5_22_50_33\Louvain_2,7
528,2,1.0,1.0,1.0,2,1.0,1.0,1.0,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3192/2021_2_5_22_50_37\Louvain_2,2
529,4,0.26582278481012656,0.7325581395348837,0.3900928792569659,4,0.3146551724137931,0.8488372093023255,0.4591194968553458,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3175/2021_2_5_22_50_53\Louvain_2,9
530,3,0.31762917933130697,0.8293650793650794,0.4593406593406594,2,0.12070759625390219,0.4603174603174603,0.1912613355317395,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2515/2021_2_5_22_51_33\Louvain_2,7
531,4,0.1588785046728972,0.2361111111111111,0.1899441340782123,3,0.21768707482993196,0.4444444444444444,0.2922374429223744,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2734/2021_2_5_22_51_38\Louvain_2,5
532,4,0.49514563106796117,0.8793103448275862,0.6335403726708075,5,0.6,0.9310344827586207,0.7297297297297297,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3854/2021_2_5_22_51_45\Louvain_2,7
533,2,0.5294117647058824,1.0,0.6923076923076924,3,0.8181818181818182,1.0,0.9,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_1436/2021_2_5_22_51_46\Louvain_2,4
534,3,0.40463917525773196,0.9457831325301205,0.5667870036101083,5,0.7345132743362832,1.0,0.8469387755102041,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_1766/2021_2_5_22_51_53\Louvain_2,7
535,3,0.23945409429280398,0.7797979797979798,0.36639772187944947,5,0.42052313883299797,0.8444444444444444,0.5614506380120886,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3997/2021_2_5_22_53_28\Louvain_2,9
