,v1clusters,v1recall,v1precision,v1f_score,v2clusters,v2recall,v2precision,v2f_score
888,3,0.583941605839416,0.7804878048780488,0.6680584551148225,3,0.572463768115942,0.7707317073170732,0.6569646569646569
889,3,0.2771604938271605,0.7584459459459459,0.40596745027124775,3,0.20040899795501024,0.6621621621621622,0.3076923076923077
890,3,0.6606498194945848,0.9838709677419356,0.7904967602591791,3,0.628158844765343,0.935483870967742,0.7516198704103672
891,2,0.3,1.0,0.4615384615384615,4,0.5625,1.0,0.72
892,2,1.0,1.0,1.0,2,0.6444444444444445,0.6444444444444445,0.6444444444444445
893,3,0.36161137440758295,0.7436647173489279,0.4866071428571429,2,0.15923172242874845,0.5009746588693957,0.24165491302303715
894,2,1.0,1.0,1.0,2,1.0,1.0,1.0
895,3,0.8918918918918919,0.8918918918918919,0.8918918918918919,3,0.8815789473684209,0.9054054054054054,0.8933333333333332
896,2,0.8039215686274509,1.0,0.891304347826087,2,0.8039215686274509,1.0,0.891304347826087
897,2,0.5782710280373832,0.9649122807017544,0.7231555880204529,3,1.0,1.0,1.0
898,3,0.5565819861431871,0.7724358974358975,0.6469798657718122,2,0.3392612859097127,0.7948717948717948,0.4755512943432406
899,4,0.5185185185185185,1.0,0.6829268292682926,4,0.5185185185185185,1.0,0.6829268292682926
900,3,0.3980582524271845,0.7288888888888889,0.5149136577708006,2,0.2078313253012048,0.6133333333333333,0.3104611923509561
901,4,0.18129770992366406,0.4691358024691358,0.2615278733654508,2,0.10707070707070708,0.5234567901234568,0.17777777777777776
902,3,0.29186602870813394,0.9601851851851853,0.4476581048996331,2,0.13790504898266767,0.6777777777777778,0.2291797119599249
903,3,0.1238390092879257,0.4232804232804233,0.19161676646706588,2,0.11408016443987667,0.5873015873015873,0.1910499139414802
904,3,0.3333333333333333,0.6078431372549019,0.4305555555555555,2,0.2471264367816092,0.8431372549019608,0.38222222222222224
905,2,1.0,1.0,1.0,2,1.0,1.0,1.0
906,2,0.48924731182795705,0.883495145631068,0.6297577854671279,2,0.3548387096774194,0.6407766990291263,0.4567474048442907
907,3,0.4137931034482759,0.7272727272727273,0.5274725274725275,2,0.2127659574468085,0.6060606060606061,0.3149606299212599
